time,open,high,low,close
2024-10-20T21:07:00Z,103.464,103.464,103.464,103.464
2024-10-20T22:00:00Z,103.478,103.484,103.476,103.483
2024-10-20T22:01:00Z,103.48,103.48,103.467,103.467
2024-10-20T22:02:00Z,103.464,103.465,103.454,103.454
2024-10-20T22:03:00Z,103.453,103.453,103.443,103.445
2024-10-20T22:04:00Z,103.45,103.45,103.445,103.447
2024-10-20T22:05:00Z,103.446,103.447,103.445,103.445
2024-10-20T22:06:00Z,103.444,103.449,103.444,103.449
2024-10-20T22:07:00Z,103.449,103.449,103.449,103.449
2024-10-20T22:08:00Z,103.448,103.451,103.448,103.448
2024-10-20T22:09:00Z,103.45,103.451,103.45,103.451
2024-10-20T22:10:00Z,103.454,103.459,103.454,103.459
2024-10-20T22:11:00Z,103.46,103.463,103.457,103.462
2024-10-20T22:12:00Z,103.464,103.466,103.46,103.461
2024-10-20T22:13:00Z,103.464,103.464,103.46,103.46
2024-10-20T22:14:00Z,103.462,103.462,103.46,103.461
2024-10-20T22:15:00Z,103.459,103.464,103.459,103.461
2024-10-20T22:16:00Z,103.463,103.466,103.463,103.466
2024-10-20T22:17:00Z,103.467,103.468,103.463,103.468
2024-10-20T22:18:00Z,103.465,103.469,103.464,103.465
2024-10-20T22:19:00Z,103.466,103.467,103.465,103.466
2024-10-20T22:20:00Z,103.468,103.468,103.461,103.465
2024-10-20T22:21:00Z,103.463,103.465,103.46,103.46
2024-10-20T22:22:00Z,103.459,103.461,103.456,103.461
2024-10-20T22:23:00Z,103.459,103.464,103.459,103.464
2024-10-20T22:24:00Z,103.464,103.467,103.463,103.467
2024-10-20T22:25:00Z,103.468,103.47,103.467,103.47
2024-10-20T22:26:00Z,103.471,103.474,103.471,103.472
2024-10-20T22:27:00Z,103.473,103.476,103.471,103.471
2024-10-20T22:28:00Z,103.474,103.476,103.471,103.476
2024-10-20T22:29:00Z,103.473,103.473,103.47,103.472
2024-10-20T22:30:00Z,103.474,103.474,103.472,103.472
2024-10-20T22:31:00Z,103.471,103.474,103.47,103.471
2024-10-20T22:32:00Z,103.473,103.476,103.471,103.471
2024-10-20T22:33:00Z,103.47,103.474,103.469,103.469
2024-10-20T22:34:00Z,103.471,103.471,103.462,103.463
2024-10-20T22:35:00Z,103.464,103.468,103.463,103.468
2024-10-20T22:36:00Z,103.468,103.47,103.468,103.468
2024-10-20T22:37:00Z,103.469,103.469,103.468,103.469
2024-10-20T22:38:00Z,103.47,103.477,103.468,103.477
2024-10-20T22:39:00Z,103.475,103.479,103.474,103.475
2024-10-20T22:40:00Z,103.476,103.478,103.475,103.476
2024-10-20T22:41:00Z,103.479,103.479,103.475,103.476
2024-10-20T22:42:00Z,103.478,103.482,103.478,103.482
2024-10-20T22:43:00Z,103.481,103.481,103.477,103.477
2024-10-20T22:44:00Z,103.48,103.48,103.475,103.477
2024-10-20T22:45:00Z,103.48,103.48,103.469,103.469
2024-10-20T22:46:00Z,103.469,103.475,103.469,103.471
2024-10-20T22:47:00Z,103.476,103.477,103.473,103.473
2024-10-20T22:48:00Z,103.471,103.476,103.471,103.473
